feature,importance
L1_P3_style_逃,0
L2_P9_line_trio_rate_diff_top,0
L2_P9_line_quinella_rate_diff_top,0
L2_P9_line_win_rate_diff_top,0
L2_P9_line_score_diff_top,0
L2_P9_trio_rate_diff_top,0
L2_P9_quinella_rate_diff_top,0
L2_P9_win_rate_diff_top,0
L2_P9_score_diff_top,0
L2_P9_line_trio_rate_rank,0
L2_P9_line_quinella_rate_rank,0
L2_P9_line_win_rate_rank,0
L2_P9_line_score_rank,0
L2_P9_trio_rate_rank,0
L3_P1_is_seri,0
L3_P2_is_seri,0
L3_P3_is_seri,0
L3_P3_style_逃,0
L3_P4_escape_count,0
L3_P4_win_rate,0
L3_P4_is_seri,0
L3_P4_style_逃,0
L3_P4_home_count,0
L3_P4_mark_count,0
L3_P4_makuri_count,0
L3_P5_win_rate,0
L3_P5_average_score,0
L3_P5_previous_class,0
L3_P5_class,0
L3_P5_term,0
L3_P5_age,0
L3_P5_quinella_rate_rank,0
L3_P5_win_rate_rank,0
L3_P5_score_rank,0
L3_P5_is_seri,0
L3_P5_style_逃,0
L3_P5_style_追,0
L3_P5_style_両,0
L3_P5_start_count,0
L3_P5_home_count,0
L3_P5_back_count,0
L3_P5_mark_count,0
L3_P5_sashi_count,0
L3_P5_makuri_count,0
L3_P5_escape_count,0
L3_P5_trio_rate,0
L3_P5_quinella_rate,0
L3_P6_class,0
L3_P6_term,0
L3_P6_age,0
L3_P5_line_trio_rate_diff_top,0
L3_P5_line_quinella_rate_diff_top,0
L3_P5_line_win_rate_diff_top,0
L3_P5_line_score_diff_top,0
L3_P5_trio_rate_diff_top,0
L3_P5_quinella_rate_diff_top,0
L3_P5_win_rate_diff_top,0
L3_P5_score_diff_top,0
L3_P5_line_trio_rate_rank,0
L3_P5_line_quinella_rate_rank,0
L3_P5_line_win_rate_rank,0
L3_P5_line_score_rank,0
L3_P5_trio_rate_rank,0
L3_P6_is_seri,0
L3_P6_style_逃,0
L3_P6_style_追,0
L3_P6_style_両,0
L3_P6_start_count,0
L3_P6_home_count,0
L3_P6_back_count,0
L3_P6_mark_count,0
L3_P6_sashi_count,0
L3_P6_makuri_count,0
L3_P6_escape_count,0
L3_P6_trio_rate,0
L3_P6_quinella_rate,0
L3_P6_win_rate,0
L3_P6_average_score,0
L3_P6_previous_class,0
L3_P6_line_trio_rate_diff_top,0
L3_P6_line_quinella_rate_diff_top,0
L3_P6_line_win_rate_diff_top,0
L3_P6_line_score_diff_top,0
L3_P6_trio_rate_diff_top,0
L3_P6_quinella_rate_diff_top,0
L3_P6_win_rate_diff_top,0
L3_P6_score_diff_top,0
L3_P6_line_trio_rate_rank,0
L3_P6_line_quinella_rate_rank,0
L3_P6_line_win_rate_rank,0
L3_P6_line_score_rank,0
L3_P6_trio_rate_rank,0
L3_P6_quinella_rate_rank,0
L3_P6_win_rate_rank,0
L3_P6_score_rank,0
L3_P7_style_両,0
L3_P7_start_count,0
L3_P7_home_count,0
L3_P7_back_count,0
L3_P7_mark_count,0
L3_P7_sashi_count,0
L3_P7_makuri_count,0
L3_P7_escape_count,0
L3_P7_trio_rate,0
L3_P7_quinella_rate,0
L3_P7_win_rate,0
L3_P7_average_score,0
L3_P7_previous_class,0
L3_P7_class,0
L3_P7_term,0
L3_P7_age,0
L3_P7_line_score_diff_top,0
L3_P7_trio_rate_diff_top,0
L3_P7_quinella_rate_diff_top,0
L3_P7_win_rate_diff_top,0
L3_P7_score_diff_top,0
L3_P7_line_trio_rate_rank,0
L3_P7_line_quinella_rate_rank,0
L3_P7_line_win_rate_rank,0
L3_P7_line_score_rank,0
L3_P7_trio_rate_rank,0
L3_P7_quinella_rate_rank,0
L3_P7_win_rate_rank,0
L3_P7_score_rank,0
L3_P7_is_seri,0
L3_P7_style_逃,0
L3_P7_style_追,0
L3_P8_back_count,0
L3_P8_mark_count,0
L3_P8_sashi_count,0
L3_P8_makuri_count,0
L3_P8_escape_count,0
L3_P8_trio_rate,0
L3_P8_quinella_rate,0
L3_P8_win_rate,0
L3_P8_average_score,0
L3_P8_previous_class,0
L3_P8_class,0
L3_P8_term,0
L3_P8_age,0
L3_P7_line_trio_rate_diff_top,0
L3_P7_line_quinella_rate_diff_top,0
L3_P7_line_win_rate_diff_top,0
L3_P8_win_rate_diff_top,0
L3_P8_score_diff_top,0
L3_P8_line_trio_rate_rank,0
L3_P8_line_quinella_rate_rank,0
L3_P8_line_win_rate_rank,0
L3_P8_line_score_rank,0
L3_P8_trio_rate_rank,0
L3_P8_quinella_rate_rank,0
L3_P8_win_rate_rank,0
L3_P8_score_rank,0
L3_P8_is_seri,0
L3_P8_style_逃,0
L3_P8_style_追,0
L3_P8_style_両,0
L3_P8_start_count,0
L3_P8_home_count,0
L3_P9_makuri_count,0
L3_P9_escape_count,0
L3_P9_trio_rate,0
L3_P9_quinella_rate,0
L3_P9_win_rate,0
L3_P9_average_score,0
L3_P9_previous_class,0
L3_P9_class,0
L3_P9_term,0
L3_P9_age,0
L3_P8_line_trio_rate_diff_top,0
L3_P8_line_quinella_rate_diff_top,0
L3_P8_line_win_rate_diff_top,0
L3_P8_line_score_diff_top,0
L3_P8_trio_rate_diff_top,0
L3_P8_quinella_rate_diff_top,0
L3_P9_line_score_rank,0
L3_P9_trio_rate_rank,0
L3_P9_quinella_rate_rank,0
L3_P9_win_rate_rank,0
L3_P9_score_rank,0
L3_P9_is_seri,0
L3_P9_style_逃,0
L3_P9_style_追,0
L3_P9_style_両,0
L3_P9_start_count,0
L3_P9_home_count,0
L3_P9_back_count,0
L3_P9_mark_count,0
L3_P9_sashi_count,0
L3_P9_line_trio_rate_diff_top,0
L3_P9_line_quinella_rate_diff_top,0
L3_P9_line_win_rate_diff_top,0
L3_P9_line_score_diff_top,0
L3_P9_trio_rate_diff_top,0
L3_P9_quinella_rate_diff_top,0
L3_P9_win_rate_diff_top,0
L3_P9_score_diff_top,0
L3_P9_line_trio_rate_rank,0
L3_P9_line_quinella_rate_rank,0
L3_P9_line_win_rate_rank,0
L4_P1_is_seri,0
L4_P2_line_quinella_rate_rank,0
L4_P2_is_seri,0
L1_P1_is_seri,0
L4_P3_class,0
L4_P3_line_quinella_rate_rank,0
L4_P3_line_win_rate_rank,0
L4_P3_line_score_rank,0
L4_P3_is_seri,0
L4_P3_style_逃,0
L4_P3_style_追,0
L4_P4_escape_count,0
L4_P4_trio_rate,0
L4_P4_win_rate,0
L4_P4_previous_class,0
L4_P4_class,0
L4_P4_term,0
L4_P4_age,0
L4_P4_line_score_rank,0
L4_P4_trio_rate_rank,0
L4_P4_quinella_rate_rank,0
L4_P4_win_rate_rank,0
L4_P4_score_rank,0
L4_P4_is_seri,0
L4_P4_style_逃,0
L4_P4_style_追,0
L4_P4_style_両,0
L4_P4_start_count,0
L4_P4_home_count,0
L4_P4_back_count,0
L4_P4_mark_count,0
L4_P4_sashi_count,0
L4_P4_makuri_count,0
L4_P5_win_rate,0
L4_P5_average_score,0
L4_P5_previous_class,0
L4_P5_class,0
L4_P5_term,0
L4_P5_age,0
L4_P4_line_win_rate_diff_top,0
L4_P4_line_score_diff_top,0
L4_P4_trio_rate_diff_top,0
L4_P4_quinella_rate_diff_top,0
L4_P4_win_rate_diff_top,0
L4_P4_score_diff_top,0
L4_P4_line_trio_rate_rank,0
L4_P4_line_quinella_rate_rank,0
L4_P5_quinella_rate_rank,0
L4_P5_win_rate_rank,0
L4_P5_score_rank,0
L4_P5_is_seri,0
L4_P5_style_逃,0
L4_P5_style_追,0
L4_P5_style_両,0
L4_P5_start_count,0
L4_P5_home_count,0
L4_P5_back_count,0
L4_P5_mark_count,0
L4_P5_sashi_count,0
L4_P5_makuri_count,0
L4_P5_escape_count,0
L4_P5_trio_rate,0
L4_P5_quinella_rate,0
L4_P6_class,0
L4_P6_term,0
L4_P6_age,0
L4_P5_line_trio_rate_diff_top,0
L4_P5_line_quinella_rate_diff_top,0
L4_P5_line_win_rate_diff_top,0
L4_P5_line_score_diff_top,0
L4_P5_trio_rate_diff_top,0
L4_P5_quinella_rate_diff_top,0
L4_P5_win_rate_diff_top,0
L4_P5_score_diff_top,0
L4_P5_line_trio_rate_rank,0
L4_P5_line_quinella_rate_rank,0
L4_P5_line_win_rate_rank,0
L4_P5_line_score_rank,0
L4_P5_trio_rate_rank,0
L4_P6_is_seri,0
L4_P6_style_逃,0
L4_P6_style_追,0
L4_P6_style_両,0
L4_P6_start_count,0
L4_P6_home_count,0
L4_P6_back_count,0
L4_P6_mark_count,0
L4_P6_sashi_count,0
L4_P6_makuri_count,0
L4_P6_escape_count,0
L4_P6_trio_rate,0
L4_P6_quinella_rate,0
L4_P6_win_rate,0
L4_P6_average_score,0
L4_P6_previous_class,0
L4_P6_line_trio_rate_diff_top,0
L4_P6_line_quinella_rate_diff_top,0
L4_P6_line_win_rate_diff_top,0
L4_P6_line_score_diff_top,0
L4_P6_trio_rate_diff_top,0
L4_P6_quinella_rate_diff_top,0
L4_P6_win_rate_diff_top,0
L4_P6_score_diff_top,0
L4_P6_line_trio_rate_rank,0
L4_P6_line_quinella_rate_rank,0
L4_P6_line_win_rate_rank,0
L4_P6_line_score_rank,0
L4_P6_trio_rate_rank,0
L4_P6_quinella_rate_rank,0
L4_P6_win_rate_rank,0
L4_P6_score_rank,0
L4_P7_style_両,0
L4_P7_start_count,0
L4_P7_home_count,0
L4_P7_back_count,0
L4_P7_mark_count,0
L4_P7_sashi_count,0
L4_P7_makuri_count,0
L4_P7_escape_count,0
L4_P7_trio_rate,0
L4_P7_quinella_rate,0
L4_P7_win_rate,0
L4_P7_average_score,0
L4_P7_previous_class,0
L4_P7_class,0
L4_P7_term,0
L4_P7_age,0
L4_P7_line_score_diff_top,0
L4_P7_trio_rate_diff_top,0
L4_P7_quinella_rate_diff_top,0
L4_P7_win_rate_diff_top,0
L4_P7_score_diff_top,0
L4_P7_line_trio_rate_rank,0
L4_P7_line_quinella_rate_rank,0
L4_P7_line_win_rate_rank,0
L4_P7_line_score_rank,0
L4_P7_trio_rate_rank,0
L4_P7_quinella_rate_rank,0
L4_P7_win_rate_rank,0
L4_P7_score_rank,0
L4_P7_is_seri,0
L4_P7_style_逃,0
L4_P7_style_追,0
L4_P8_back_count,0
L4_P8_mark_count,0
L4_P8_sashi_count,0
L4_P8_makuri_count,0
L4_P8_escape_count,0
L4_P8_trio_rate,0
L4_P8_quinella_rate,0
L4_P8_win_rate,0
L4_P8_average_score,0
L4_P8_previous_class,0
L4_P8_class,0
L4_P8_term,0
L4_P8_age,0
L4_P7_line_trio_rate_diff_top,0
L4_P7_line_quinella_rate_diff_top,0
L4_P7_line_win_rate_diff_top,0
L4_P8_win_rate_diff_top,0
L4_P8_score_diff_top,0
L4_P8_line_trio_rate_rank,0
L4_P8_line_quinella_rate_rank,0
L4_P8_line_win_rate_rank,0
L4_P8_line_score_rank,0
L4_P8_trio_rate_rank,0
L4_P8_quinella_rate_rank,0
L4_P8_win_rate_rank,0
L4_P8_score_rank,0
L4_P8_is_seri,0
L4_P8_style_逃,0
L4_P8_style_追,0
L4_P8_style_両,0
L4_P8_start_count,0
L4_P8_home_count,0
L4_P9_makuri_count,0
L4_P9_escape_count,0
L4_P9_trio_rate,0
L4_P9_quinella_rate,0
L4_P9_win_rate,0
L4_P9_average_score,0
L4_P9_previous_class,0
L4_P9_class,0
L4_P9_term,0
L4_P9_age,0
L4_P8_line_trio_rate_diff_top,0
L4_P8_line_quinella_rate_diff_top,0
L4_P8_line_win_rate_diff_top,0
L4_P8_line_score_diff_top,0
L4_P8_trio_rate_diff_top,0
L4_P8_quinella_rate_diff_top,0
L4_P9_line_quinella_rate_rank,0
L4_P9_line_win_rate_rank,0
L4_P9_line_score_rank,0
L4_P9_trio_rate_rank,0
L4_P9_quinella_rate_rank,0
L4_P9_win_rate_rank,0
L4_P9_score_rank,0
L4_P9_is_seri,0
L4_P9_style_逃,0
L4_P9_style_追,0
L4_P9_style_両,0
L4_P9_start_count,0
L4_P9_home_count,0
L4_P9_back_count,0
L4_P9_mark_count,0
L4_P9_sashi_count,0
L5_P1_class,0
L4_P9_line_trio_rate_diff_top,0
L4_P9_line_quinella_rate_diff_top,0
L4_P9_line_win_rate_diff_top,0
L4_P9_line_score_diff_top,0
L4_P9_trio_rate_diff_top,0
L4_P9_quinella_rate_diff_top,0
L4_P9_win_rate_diff_top,0
L4_P9_score_diff_top,0
L4_P9_line_trio_rate_rank,0
L5_P1_is_seri,0
L5_P1_style_逃,0
L5_P1_style_追,0
L5_P2_previous_class,0
L5_P2_class,0
L5_P1_line_win_rate_diff_top,0
L5_P1_line_trio_rate_rank,0
L5_P1_line_quinella_rate_rank,0
L5_P1_line_win_rate_rank,0
L5_P2_is_seri,0
L5_P2_style_逃,0
L5_P2_style_両,0
L5_P2_home_count,0
L5_P2_back_count,0
L5_P2_sashi_count,0
L5_P3_age,0
L5_P2_win_rate_diff_top,0
L5_P2_line_quinella_rate_rank,0
L5_P2_line_score_rank,0
L5_P3_style_追,0
L5_P3_style_両,0
L5_P3_start_count,0
L5_P3_home_count,0
L5_P3_back_count,0
L5_P3_makuri_count,0
L5_P3_escape_count,0
L5_P3_trio_rate,0
L5_P3_class,0
L5_P3_line_win_rate_diff_top,0
L5_P3_win_rate_diff_top,0
L5_P3_line_trio_rate_rank,0
L5_P3_line_quinella_rate_rank,0
L5_P3_line_win_rate_rank,0
L5_P3_line_score_rank,0
L5_P3_is_seri,0
L5_P3_style_逃,0
L5_P4_home_count,0
L5_P4_back_count,0
L5_P4_mark_count,0
L5_P4_sashi_count,0
L5_P4_makuri_count,0
L5_P4_escape_count,0
L5_P4_trio_rate,0
L5_P4_quinella_rate,0
L5_P4_win_rate,0
L5_P4_average_score,0
L5_P4_previous_class,0
L5_P4_class,0
L5_P4_term,0
L5_P4_age,0
L5_P3_line_trio_rate_diff_top,0
L5_P4_quinella_rate_diff_top,0
L5_P4_win_rate_diff_top,0
L5_P4_score_diff_top,0
L5_P4_line_trio_rate_rank,0
L5_P4_line_quinella_rate_rank,0
L5_P4_line_win_rate_rank,0
L5_P4_line_score_rank,0
L5_P4_trio_rate_rank,0
L5_P4_quinella_rate_rank,0
L5_P4_win_rate_rank,0
L5_P4_score_rank,0
L5_P4_is_seri,0
L5_P4_style_逃,0
L5_P4_style_追,0
L5_P4_style_両,0
L5_P4_start_count,0
L5_P5_sashi_count,0
L5_P5_makuri_count,0
L5_P5_escape_count,0
L5_P5_trio_rate,0
L5_P5_quinella_rate,0
L5_P5_win_rate,0
L5_P5_average_score,0
L5_P5_previous_class,0
L5_P5_class,0
L5_P5_term,0
L5_P5_age,0
L5_P4_line_trio_rate_diff_top,0
L5_P4_line_quinella_rate_diff_top,0
L5_P4_line_win_rate_diff_top,0
L5_P4_line_score_diff_top,0
L5_P4_trio_rate_diff_top,0
L5_P5_line_trio_rate_rank,0
L5_P5_line_quinella_rate_rank,0
L5_P5_line_win_rate_rank,0
L5_P5_line_score_rank,0
L5_P5_trio_rate_rank,0
L5_P5_quinella_rate_rank,0
L5_P5_win_rate_rank,0
L5_P5_score_rank,0
L5_P5_is_seri,0
L5_P5_style_逃,0
L5_P5_style_追,0
L5_P5_style_両,0
L5_P5_start_count,0
L5_P5_home_count,0
L5_P5_back_count,0
L5_P5_mark_count,0
L5_P6_trio_rate,0
L5_P6_quinella_rate,0
L5_P6_win_rate,0
L5_P6_average_score,0
L5_P6_previous_class,0
L5_P6_class,0
L5_P6_term,0
L5_P6_age,0
L5_P5_line_trio_rate_diff_top,0
L5_P5_line_quinella_rate_diff_top,0
L5_P5_line_win_rate_diff_top,0
L5_P5_line_score_diff_top,0
L5_P5_trio_rate_diff_top,0
L5_P5_quinella_rate_diff_top,0
L5_P5_win_rate_diff_top,0
L5_P5_score_diff_top,0
L5_P6_line_score_rank,0
L5_P6_trio_rate_rank,0
L5_P6_quinella_rate_rank,0
L5_P6_win_rate_rank,0
L5_P6_score_rank,0
L5_P6_is_seri,0
L5_P6_style_逃,0
L5_P6_style_追,0
L5_P6_style_両,0
L5_P6_start_count,0
L5_P6_home_count,0
L5_P6_back_count,0
L5_P6_mark_count,0
L5_P6_sashi_count,0
L5_P6_makuri_count,0
L5_P6_escape_count,0
L5_P7_average_score,0
L5_P7_previous_class,0
L5_P7_class,0
L5_P7_term,0
L5_P7_age,0
L5_P6_line_trio_rate_diff_top,0
L5_P6_line_quinella_rate_diff_top,0
L5_P6_line_win_rate_diff_top,0
L5_P6_line_score_diff_top,0
L5_P6_trio_rate_diff_top,0
L5_P6_quinella_rate_diff_top,0
L5_P6_win_rate_diff_top,0
L5_P6_score_diff_top,0
L5_P6_line_trio_rate_rank,0
L5_P6_line_quinella_rate_rank,0
L5_P6_line_win_rate_rank,0
L5_P7_win_rate_rank,0
L5_P7_score_rank,0
L5_P7_is_seri,0
L5_P7_style_逃,0
L5_P7_style_追,0
L5_P7_style_両,0
L5_P7_start_count,0
L5_P7_home_count,0
L5_P7_back_count,0
L5_P7_mark_count,0
L5_P7_sashi_count,0
L5_P7_makuri_count,0
L5_P7_escape_count,0
L5_P7_trio_rate,0
L5_P7_quinella_rate,0
L5_P7_win_rate,0
L5_P8_term,0
L5_P8_age,0
L5_P7_line_trio_rate_diff_top,0
L5_P7_line_quinella_rate_diff_top,0
L5_P7_line_win_rate_diff_top,0
L5_P7_line_score_diff_top,0
L5_P7_trio_rate_diff_top,0
L5_P7_quinella_rate_diff_top,0
L5_P7_win_rate_diff_top,0
L5_P7_score_diff_top,0
L5_P7_line_trio_rate_rank,0
L5_P7_line_quinella_rate_rank,0
L5_P7_line_win_rate_rank,0
L5_P7_line_score_rank,0
L5_P7_trio_rate_rank,0
L5_P7_quinella_rate_rank,0
L5_P8_style_逃,0
L5_P8_style_追,0
L5_P8_style_両,0
L5_P8_start_count,0
L5_P8_home_count,0
L5_P8_back_count,0
L5_P8_mark_count,0
L5_P8_sashi_count,0
L5_P8_makuri_count,0
L5_P8_escape_count,0
L5_P8_trio_rate,0
L5_P8_quinella_rate,0
L5_P8_win_rate,0
L5_P8_average_score,0
L5_P8_previous_class,0
L5_P8_class,0
L5_P8_line_quinella_rate_diff_top,0
L5_P8_line_win_rate_diff_top,0
L5_P8_line_score_diff_top,0
L5_P8_trio_rate_diff_top,0
L5_P8_quinella_rate_diff_top,0
L5_P8_win_rate_diff_top,0
L5_P8_score_diff_top,0
L5_P8_line_trio_rate_rank,0
L5_P8_line_quinella_rate_rank,0
L5_P8_line_win_rate_rank,0
L5_P8_line_score_rank,0
L5_P8_trio_rate_rank,0
L5_P8_quinella_rate_rank,0
L5_P8_win_rate_rank,0
L5_P8_score_rank,0
L5_P8_is_seri,0
L5_P9_start_count,0
L5_P9_home_count,0
L5_P9_back_count,0
L5_P9_mark_count,0
L5_P9_sashi_count,0
L5_P9_makuri_count,0
L5_P9_escape_count,0
L5_P9_trio_rate,0
L5_P9_quinella_rate,0
L5_P9_win_rate,0
L5_P9_average_score,0
L5_P9_previous_class,0
L5_P9_class,0
L5_P9_term,0
L5_P9_age,0
L5_P8_line_trio_rate_diff_top,0
L5_P9_trio_rate_diff_top,0
L5_P9_quinella_rate_diff_top,0
L5_P9_win_rate_diff_top,0
L5_P9_score_diff_top,0
L5_P9_line_trio_rate_rank,0
L5_P9_line_quinella_rate_rank,0
L5_P9_line_win_rate_rank,0
L5_P9_line_score_rank,0
L5_P9_trio_rate_rank,0
L5_P9_quinella_rate_rank,0
L5_P9_win_rate_rank,0
L5_P9_score_rank,0
L5_P9_is_seri,0
L5_P9_style_逃,0
L5_P9_style_追,0
L5_P9_style_両,0
L9_P9_style_両,0
L9_P9_previous_class,0
L9_P9_start_count,0
L9_P9_home_count,0
L9_P9_back_count,0
L9_P9_mark_count,0
L9_P9_sashi_count,0
L9_P9_makuri_count,0
L9_P9_escape_count,0
L6_P1_class,0
L9_P9_trio_rate,0
L9_P9_quinella_rate,0
L5_P9_line_trio_rate_diff_top,0
L5_P9_line_quinella_rate_diff_top,0
L5_P9_line_win_rate_diff_top,0
L5_P9_line_score_diff_top,0
straight_type,0
L6_P1_line_trio_rate_rank,0
L6_P1_line_quinella_rate_rank,0
L6_P1_line_win_rate_rank,0
L6_P1_line_score_rank,0
L1_P5_score_rank,0
L1_P5_is_seri,0
L1_P5_style_逃,0
L1_P5_style_追,0
L6_P1_is_seri,0
L1_P5_style_両,0
L6_P1_style_追,0
L1_P5_home_count,0
L1_P5_back_count,0
L9_P9_quinella_rate_rank,0
L9_P9_win_rate_rank,0
L6_P2_escape_count,0
L6_P2_trio_rate,0
L6_P2_quinella_rate,0
L6_P2_win_rate,0
L6_P2_average_score,0
L6_P2_previous_class,0
L6_P2_class,0
L6_P2_term,0
L6_P2_age,0
L6_P1_line_trio_rate_diff_top,0
L6_P1_line_quinella_rate_diff_top,0
L6_P1_line_win_rate_diff_top,0
L6_P1_line_score_diff_top,0
L9_P9_score_rank,0
L9_P9_is_seri,0
L9_P9_style_逃,0
L6_P2_line_win_rate_rank,0
L6_P2_line_score_rank,0
L6_P2_trio_rate_rank,0
L6_P2_quinella_rate_rank,0
L6_P2_win_rate_rank,0
L6_P2_score_rank,0
L6_P2_is_seri,0
L6_P2_style_逃,0
L6_P2_style_追,0
L6_P2_style_両,0
L6_P2_start_count,0
L6_P2_home_count,0
L6_P2_back_count,0
L6_P2_mark_count,0
L6_P2_sashi_count,0
L6_P2_makuri_count,0
L6_P3_win_rate,0
L6_P3_average_score,0
L6_P3_previous_class,0
L6_P3_class,0
L6_P3_term,0
L6_P3_age,0
L6_P2_line_trio_rate_diff_top,0
L6_P2_line_quinella_rate_diff_top,0
L6_P2_line_win_rate_diff_top,0
L6_P2_line_score_diff_top,0
L6_P2_trio_rate_diff_top,0
L6_P2_quinella_rate_diff_top,0
L6_P2_win_rate_diff_top,0
L6_P2_score_diff_top,0
L6_P2_line_trio_rate_rank,0
L6_P2_line_quinella_rate_rank,0
L6_P3_quinella_rate_rank,0
L6_P3_win_rate_rank,0
L6_P3_score_rank,0
L6_P3_is_seri,0
L6_P3_style_逃,0
L6_P3_style_追,0
L6_P3_style_両,0
L6_P3_start_count,0
L6_P3_home_count,0
L6_P3_back_count,0
L6_P3_mark_count,0
L6_P3_sashi_count,0
L6_P3_makuri_count,0
L6_P3_escape_count,0
L6_P3_trio_rate,0
L6_P3_quinella_rate,0
L6_P4_class,0
L6_P4_term,0
L6_P4_age,0
L6_P3_line_trio_rate_diff_top,0
L6_P3_line_quinella_rate_diff_top,0
L6_P3_line_win_rate_diff_top,0
L6_P3_line_score_diff_top,0
L6_P3_trio_rate_diff_top,0
L6_P3_quinella_rate_diff_top,0
L6_P3_win_rate_diff_top,0
L6_P3_score_diff_top,0
L6_P3_line_trio_rate_rank,0
L6_P3_line_quinella_rate_rank,0
L6_P3_line_win_rate_rank,0
L6_P3_line_score_rank,0
L6_P3_trio_rate_rank,0
L6_P4_is_seri,0
L6_P4_style_逃,0
L6_P4_style_追,0
L6_P4_style_両,0
L6_P4_start_count,0
L6_P4_home_count,0
L6_P4_back_count,0
L6_P4_mark_count,0
L6_P4_sashi_count,0
L6_P4_makuri_count,0
L6_P4_escape_count,0
L6_P4_trio_rate,0
L6_P4_quinella_rate,0
L6_P4_win_rate,0
L6_P4_average_score,0
L6_P4_previous_class,0
L6_P4_line_trio_rate_diff_top,0
L6_P4_line_quinella_rate_diff_top,0
L6_P4_line_win_rate_diff_top,0
L6_P4_line_score_diff_top,0
L6_P4_trio_rate_diff_top,0
L6_P4_quinella_rate_diff_top,0
L6_P4_win_rate_diff_top,0
L6_P4_score_diff_top,0
L6_P4_line_trio_rate_rank,0
L6_P4_line_quinella_rate_rank,0
L6_P4_line_win_rate_rank,0
L6_P4_line_score_rank,0
L6_P4_trio_rate_rank,0
L6_P4_quinella_rate_rank,0
L6_P4_win_rate_rank,0
L6_P4_score_rank,0
L6_P5_style_両,0
L6_P5_start_count,0
L6_P5_home_count,0
L6_P5_back_count,0
L6_P5_mark_count,0
L6_P5_sashi_count,0
L6_P5_makuri_count,0
L6_P5_escape_count,0
L6_P5_trio_rate,0
L6_P5_quinella_rate,0
L6_P5_win_rate,0
L6_P5_average_score,0
L6_P5_previous_class,0
L6_P5_class,0
L6_P5_term,0
L6_P5_age,0
L6_P5_line_score_diff_top,0
L6_P5_trio_rate_diff_top,0
L6_P5_quinella_rate_diff_top,0
L6_P5_win_rate_diff_top,0
L6_P5_score_diff_top,0
L6_P5_line_trio_rate_rank,0
L6_P5_line_quinella_rate_rank,0
L6_P5_line_win_rate_rank,0
L6_P5_line_score_rank,0
L6_P5_trio_rate_rank,0
L6_P5_quinella_rate_rank,0
L6_P5_win_rate_rank,0
L6_P5_score_rank,0
L6_P5_is_seri,0
L6_P5_style_逃,0
L6_P5_style_追,0
L6_P6_back_count,0
L6_P6_mark_count,0
L6_P6_sashi_count,0
L6_P6_makuri_count,0
L6_P6_escape_count,0
L6_P6_trio_rate,0
L6_P6_quinella_rate,0
L6_P6_win_rate,0
L6_P6_average_score,0
L6_P6_previous_class,0
L6_P6_class,0
L6_P6_term,0
L6_P6_age,0
L6_P5_line_trio_rate_diff_top,0
L6_P5_line_quinella_rate_diff_top,0
L6_P5_line_win_rate_diff_top,0
L6_P6_win_rate_diff_top,0
L6_P6_score_diff_top,0
L6_P6_line_trio_rate_rank,0
L6_P6_line_quinella_rate_rank,0
L6_P6_line_win_rate_rank,0
L6_P6_line_score_rank,0
L6_P6_trio_rate_rank,0
L6_P6_quinella_rate_rank,0
L6_P6_win_rate_rank,0
L6_P6_score_rank,0
L6_P6_is_seri,0
L6_P6_style_逃,0
L6_P6_style_追,0
L6_P6_style_両,0
L6_P6_start_count,0
L6_P6_home_count,0
L6_P7_makuri_count,0
L6_P7_escape_count,0
L6_P7_trio_rate,0
L6_P7_quinella_rate,0
L6_P7_win_rate,0
L6_P7_average_score,0
L6_P7_previous_class,0
L6_P7_class,0
L6_P7_term,0
L6_P7_age,0
L6_P6_line_trio_rate_diff_top,0
L6_P6_line_quinella_rate_diff_top,0
L6_P6_line_win_rate_diff_top,0
L6_P6_line_score_diff_top,0
L6_P6_trio_rate_diff_top,0
L6_P6_quinella_rate_diff_top,0
L6_P7_line_quinella_rate_rank,0
L6_P7_line_win_rate_rank,0
L6_P7_line_score_rank,0
L6_P7_trio_rate_rank,0
L6_P7_quinella_rate_rank,0
L6_P7_win_rate_rank,0
L6_P7_score_rank,0
L6_P7_is_seri,0
L6_P7_style_逃,0
L6_P7_style_追,0
L6_P7_style_両,0
L6_P7_start_count,0
L6_P7_home_count,0
L6_P7_back_count,0
L6_P7_mark_count,0
L6_P7_sashi_count,0
L6_P8_quinella_rate,0
L6_P8_win_rate,0
L6_P8_average_score,0
L6_P8_previous_class,0
L6_P8_class,0
L6_P8_term,0
L6_P8_age,0
L6_P7_line_trio_rate_diff_top,0
L6_P7_line_quinella_rate_diff_top,0
L6_P7_line_win_rate_diff_top,0
L6_P7_line_score_diff_top,0
L6_P7_trio_rate_diff_top,0
L6_P7_quinella_rate_diff_top,0
L6_P7_win_rate_diff_top,0
L6_P7_score_diff_top,0
L6_P7_line_trio_rate_rank,0
L6_P8_trio_rate_rank,0
L6_P8_quinella_rate_rank,0
L6_P8_win_rate_rank,0
L6_P8_score_rank,0
L6_P8_is_seri,0
L6_P8_style_逃,0
L6_P8_style_追,0
L6_P8_style_両,0
L6_P8_start_count,0
L6_P8_home_count,0
L6_P8_back_count,0
L6_P8_mark_count,0
L6_P8_sashi_count,0
L6_P8_makuri_count,0
L6_P8_escape_count,0
L6_P8_trio_rate,0
L6_P9_previous_class,0
L6_P9_class,0
L6_P9_term,0
L6_P9_age,0
L6_P8_line_trio_rate_diff_top,0
L6_P8_line_quinella_rate_diff_top,0
